ID,Drone,Day,Mo,Year,City_original,State,Country,Location.new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper,ABPV,AM,AR,BQCV,CBPV,DWV,IAPV,KBV,LSV,SBPV,SV,VDV1,VDV2,VDV3,VO1,VTV,Afr.Extent,V.arrival
1029,,23,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,ENJAMBRE INCEPIENTE,OVERCAST,TRAPLINE,0,99.8171,0,0,0,0,0,0,0.121838,0,0.0610379,0,0,0,0,0,1.00E-07,0
1031,,23,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"8 LARGE COMBS-QUEEN PREREVEED BROOD, CAPPED HONEY, PLENTIFUL, DRONE CELLS",OVERCAST,TRAPLINE,0,1.036,0,10.2399,0,0,0,0,59.0059,0,29.7182,0,0,0,0,0,1.325521333,0
1032,,23,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,QUEEN NOT SEEN 3 COMBS TRAP HAD FALLEN TO GROUND AND REHUNG. ONE FELL AGAIN AND REHUNG SOME COMB WAS ON THE GROUND AND NOT COUNTED IN THE TOTAL OF 1037(??),OVERCAST,TRAPLINE,0,0.0598658,0,2.50162,0,0,0,0,8.26167,0,89.1768,0,0,0,0,0,4.045831036,0
1033,,23,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"QUEEN TOO. 6 LARGE, 1 SMALL COMB, BROOD, CAPPED HONEY COMBS ATTACHED TO TRAP COVER",OVERCAST BREEZY,TRAPLINE,0,0.0635395,0,18.8995,0,0,0,0,1.81762,0,79.2194,0,0,0,0,0,1.00E-07,0
1034,,23,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,5 MED. SIZE COMBS,OVERCAST BREEZY,TRAPLINE,0,3.31668,0,17.0525,0,0,0,0,41.1536,0,38.4772,0,0,0,0,0,1.00E-07,0
1035,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SEVERAL DIAGONAL COMBS- FRESH- MED. SIZE HONEY, CAPPED BROOD; EGGS, MUCH LARVAE ONLY QUEEN PRESERVED",OVERCAST BREEZY,TRAPLINE,0,0,0,0.00239209,0,0,0,0,99.9976,0,0,0,0,0,0,0,1.00E-07,0
1036,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"7 MEDIUM COMBS. LONGITUDIUAL COMB DIRECTION WILD OLIVE, HUISACHE, OTROS ARBUSTOS EN FLOR, BASTANTE FLORACION",OVERCAST BREEZY,TRAPLINE,0,9.68E-05,0,1.31603,0,0,0,0,98.6561,0,0.0277569,0,0,0,0,0,1.00E-07,0
1037,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EGGS PRESENT, NO LARVAE LARGEST SWARM YET 1.5 BAGS NEEDED",OVERCAST BREEZY,TRAPLINE,0,0.144886,0,0,0,0.380592,0,0,1.30637,0,98.1682,0,0,0,0,0,1.00E-07,0
1038,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,SMALL SWARM QUEEN PRESEVED 4 DIAGONAL COMBS,OVERCAST BREEZY,TRAPLINE,0,0.150494,0,72.7013,0,0,0,0,27.1482,0,0,0,0,0,0,0,8.15520613,0
1040,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"PHEROMONE TUBE PROPELYZED 7 LARGE HANGING COMBS, LONGITUDIUAL 3 FALLEN COMBS, ALSO LARGE",OVERCAST BREEZY,TRAPLINE,0,1.73829,0,0,0,0,0,0,98.2617,0,0,0,0,0,0,0,1.00E-07,0
1041,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,NO QUEEN- NO COMB SOME BURR COMB (VERY LITTLE),BREEZY HOT,TRAPLINE,0,0.000288389,0,0.00706267,0,0,0,0,0.0158941,0,99.9768,0,0,0,0,0,1.00E-07,0
1042,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MUCH CAPPED DRONE BROOD 1 CYCLE OF WORKERS HAD EMERGED 8 GREAT BIG COMBS, DIAGONAL ATRAYENTE CAIDO?",BREEZY HOT,TRAPLINE,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.00E-07,0
1043,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,MANY LARGE COMBS CAPPED HONEY CAPPED DRONES PRESENT,BREEZY HOT,TRAPLINE,0,0.51924,0,0,0,0,0,0,99.4808,0,0,0,0,0,0,0,1.00E-07,0
1044,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"VERY LITTLE COMB, SOME NECTAR NO BROOD OR EGGS",BREEZY SUNNY,TRAPLINE,0,0.613109,0,6.06893,0,0,0,0,93.318,0,0,0,0,0,0,0,1.00E-07,0
1045,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"3 SMALL COMBS. NECTAR NO BROOD OR EGGS, SOME NECTAR",BREEZY SUNNY,TRAPLINE,0,0.0248238,0,97.8331,0,0,0,0,2.14203,0,0,0,0,0,0,0,1.00E-07,0
1048,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EGGS, NO LAVAE 6+ PANALES MEDIANAS REINA CONGELADA",BREEZY SUNNY,TRAPLINE,0,0.00332881,0,0.0583793,0,0,0,0,0.0843063,0,99.854,0,0,0,0,0,1.00E-07,0
1049,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,SOME CAPPED BROOD 8 PANALES MEDIANOS,BREEZY SUNNY,TRAPLINE,0,0.774334,0,0,0,0,0,0,85.9079,0,13.3178,0,0,0,0,0,1.00E-07,0
1050,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,SEALED BROOD SOME EMERGING BROODD 8 PANALES GRADES QUEEN,BREEZY SUNNY,TRAPLINE,0,0.0743109,0,0,0,0,0,0,0.531237,0,99.3945,0,0,0,0,0,1.00E-07,0
1051,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SEALED BROOD, EMERGIGN BROOD 6 PANALES QUEEN",BREEZY SUNNY,TRAPLINE,0,0.0290372,0,1.29696,0,0,0,0,2.49587,0,96.1781,0,0,0,0,0,1.00E-07,0
1052,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EMERGING BROOD; DRONE BROOD (CAPPED) 8 LARGE COMBS ATTACHED TO COVER, DIAGONAL",BREEZY SUNNY,TRAPLINE,0,0.0156585,0,1.40283,0,0,0,0,2.70313,0,95.8784,0,0,0,0,0,1.00E-07,0
1054,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SECOND CYCLE OF BROOD LONGITUDIUAL, CONNECTED TO COVER 7 LARGE COMBS",BREEZY SUNNY,TRAPLINE,0,1.17501,0,0,0,0,0,0,98.825,0,0,0,0,0,0,0,1.00E-07,0
1056,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,NO BULK BEES DUE TO SMALL SIZE OF COLONY,BREEZY SUNNY,TRAPLINE,0,0.156033,0,34.8494,0,0,0,0,33.5334,0,31.4611,0,0,0,0,0,1.00E-07,0
1057,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MUCH CAPPED BROOD IN CELLS MUCH POLLEN, HONEY (CAPPED, LIGHT) NO SE MEDIO 11 DIAGONAL COMBS, LARGE NO BULK SAMPLE WAS TAKEN TO CONSERVE TIME-LATE IN THE DAY",BREEZY SUNNY,TRAPLINE,0,0.0415363,0,0.988731,0,0,0,0,2.85313,0,96.1166,0,0,0,0,0,1.00E-07,0
1058,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"CAPPED DRONE, WORKER BROOD DIAGONAL 8 LARGE COMBS",BREEZY SUNNY,TRAPLINE,0,0.14358,0,68.7666,0,0,0,0,31.0899,0,0,0,0,0,0,0,1.00E-07,0
1059,,24,3,1988,SOTO/VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"5 COMBS, SMALL NO BROOD",BREEZY SUNNY,TRAPLINE,0,9.19242,0,90.8076,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-07,0
1063,,19,4,1988,SLM/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,M,D",NA,NA,SUNNY BREEZY,TRAPLINE,0,0.00010284,0,0.0070602,0,0,0,0,0.00255751,0,99.9903,0,0,0,0,0,1.00E-07,0
1065,,19,4,1988,SLM/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,M,D",NA,NEW COMB,SUNNY BREEZY,TRAPLINE,66.605,1.2426,0,0,0,15.5603,0,16.5921,0,0,0,0,0,0,0,0,1.00E-07,0
1066,,19,4,1988,SLM/LA PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,M,D",NA,NA,SUNNY BREEZY,TRAPLINE,63.4972,1.19422,0,35.3086,0,0,0,0,0,0,0,0,0,0,0,0,2.021500232,0
1072,,19,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.0524348,0,40.8407,0,0,0,0,59.1068,0,0,0,0,0,0,0,1.00E-07,0
1073,,19,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.00496792,0,0.589407,0,0,0,0,99.073,0,0.332608,0,0,0,0,0,0.090389914,0
1074,,19,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.820019,0,12.1096,0,0,0,0,87.0704,0,0,0,0,0,0,0,0.221179201,0
1077,,19,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"RAUL,DEO",NA,OUTSIDE TRAP 4 MEDIUM COMB WITH BROOD (ALL STAGES) PROPOLIZED ENTRANCE HOLE 40X35 OUTSIDE,BREEZY,TRAPLINE,0,0.129534,0,96.1392,0,0,0,0,3.73127,0,0,0,0,0,0,0,1.434328132,0
1079,,19,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,DALE ET AL,NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.000434483,0,0.113177,0,0,0,0,99.8814,0,0.00497698,0,0,0,0,0,1.00E-07,0
1085,,20,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"D,R,B",NA,NA,"CLEAR, BREEZY, HOT",TRAPLINE,0,2.05418,0,0,0,0,0,0,97.9458,0,0,0,0,0,0,0,1.00E-07,0
1087,,20,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,B",NA,NA,"WINDY, CLEAR, HOT",TRAPLINE,0,39.9593,0,11.5307,0,0,0,0,21.4262,0,27.0837,0,0,0,0,0,0.277868458,0
1089,,20,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,B",NA,LOTS OF DRONES,"SUNNY, BREEZY, HOT",TRAPLINE,0,7.37E-05,0,0,0,0,0,0,99.9999,0,0,0,0,0,0,0,1.00E-07,0
1095,,20,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,B",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.297205,0,2.53674,0,0,0,0,97.1661,0,0,0,0,0,0,0,1.00E-07,0
1097,,20,4,1988,SLM - CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"R,D,B",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.234371,0,62.8029,0,0,0,0,30.2131,0,6.74967,0,0,0,0,0,1.00E-07,0
1098,,21,4,1988,SLM- CD. VICTORIA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"RAUL,NOE,DEO",NA,NA,"SUNNY, BREEZY, HOT",TRAPLINE,0,0.255004,0,19.4586,0,0,0,0,34.2728,0,46.0135,0,0,0,0,0,1.00E-07,0
1099,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,NA,HOT AND HUMID,TRAPLINE,0,0.065976,0,96.671,0,0,0,0,2.44534,0,0.817722,0,0,0,0,0,1.00E-07,0
1100,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,NO BROOD ACTIVE RESPONSE TO AGGRESIVE BEHAVIOR TEST (RESULTS: 11&14 STINGS),HOT AND HUMID,TRAPLINE,0,0.0309736,0,9.20915,0,90.7599,0,0,0,0,0,0,0,0,0,0,1.00E-07,0
1101,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTWL,NA,NA,HOT AND HUMID,TRAPLINE,0,0.0282049,0,94.6442,0,0,0,0,5.16363,0,0.164007,0,0,0,0,0,1.00E-07,0
1102,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,BEHAVIORAL TEST DONE FEWER BEES BUT SEVERAL STINGS 4+1,HOT AND HUMID,TRAPLINE,0,9.85594,0,36.8501,0,0,0,0,53.294,0,0,0,0,0,0,0,1.00E-07,0
1103,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,NOT MUCH COMB BUT MANY BEES NEW SWARM NO BROOD,HOT AND HUMID,TRAPLINE,0,0.0773484,0,5.37609,0,91.5751,0,0,0,0,2.97144,0,0,0,0,0,2.527747316,0
1104,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,"BEHAVIOR TEST DONE. LARGE BEE POPULAT, BUT NO STINGS NO COMBS PRESENT A LARGE SWARM RECENTLY ARRIVED IN TRAP",HOT AND HUMID,TRAPLINE,0,2.05346,0,0,0,0,0,0,97.9465,0,0,0,0,0,0,0,1.00E-07,0
1105,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,71 STINGS IN BEHAVIOR TEST A LOT OF BEES 48+23 STINGS EGGS ONLY,HOT AND HUMID,TRAPLINE,0,0.390054,0,42.0459,0,34.1376,0,0,0,0,23.4265,0,0,0,0,0,1.00E-07,0
1106,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,A VERY SMALL POPULATION OF WORKERS 28+1 PIQUETES ONLY SMALL AMT. OF BROOD,HOT AND HUMID,TRAPLINE,0,0.000256475,0,97.589,0.891722,1.41519,0,0,0,0,0.103782,0,0,0,0,0,1.00E-07,0
1107,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,FEW BEES FOR AMT. OF COMB 0 STINGS,HOT AND HUMID,TRAPLINE,89.0269,0.000269649,0,10.7636,0,0,0.00605541,0.202159,0.000408537,0,0.000546721,0,0,0,0,0,1.375893825,0
1108,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,ALL COMB OUTSIDE TRAP,"HAZY, WARM, CLEAR",TRAPLINE,0,0.690286,0,20.4795,0,0,0,0,59.0189,0,19.8114,0,0,0,0,0,1.00E-07,0
1109,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,NA,HOT AND HUMID,TRAPLINE,0,0.316942,0,51.9204,0,0,0,0,34.0663,0,13.6964,0,0,0,0,0,1.00E-07,0
1110,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,V. SMALL SWARM,HOT AND HUMID,TRAPLINE,0,0,0,40.9045,0,0,0,0,29.4136,0,29.6819,0,0,0,0,0,1.00E-07,0
1111,,18,5,1988,SOTO LA MARINA/PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WLR, ET.AL",NA,"COMBS DIAGONAL INSIDE, TRAVESE ON TOP; DRONE CELLS PRESENT 2+0 STINGS",HOT AND HUMID,TRAPLINE,0,0.0221451,0,0,0,0,0,0,3.81098,0,96.1669,0,0,0,0,0,1.00E-07,0
1112_A,,18,5,1988,SOTO LA MARINA/PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"WLR, ET.AL",NA,17+1 STINGS,HOT AND HUMID,TRAPLINE,0,0.0833701,0,0.354392,0.853591,0,0,0,3.06799,0,95.6407,0,0,0,0,0,1.00E-07,0
1113,,18,5,1988,SOTO LA MARINA/PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WLR,NA,BEHAVIOR TEST=17 STINGS 17+0 NOT MUCH HONEY POLLEN ABUNDANT,HOT AND HUMID,TRAPLINE,0,1.34995,0,0,0,0,0,0,98.65,0,0,0,0,0,0,0,0.787327002,0
1114,,18,5,1988,SOTO LA MARINA/PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WLR,NA,LITTLE HONEY 0 STINGS,HOT AND HUMID,TRAPLINE,0,0.0290078,0,1.03503,0,0,0,0,2.48815,0,96.4478,0,0,0,0,0,1.00E-07,0
1115,,18,5,1988,SOTO LA MARINA/PESCA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,WLR,NA,LITTLE HONEY,HOT AND HUMID,TRAPLINE,1.73046,0.547706,0,5.78019,0,0,0,0,91.9416,0,0,0,0,0,0,0,1.00E-07,0
1117,,14,6,1988,LA PESCA / SLM,TAMAULIPAS,MEXICO,La Pesca region,TAM,23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,NA,NUBLADO CON NEBLINA,TRAPLINE,0,0.145197,0,0,0,98.9445,0,0,0,0,0,0.910317,0,0,0,0,0.136971714,0
1118,,14,6,1988,LA PESCA / SLM,TAMAULIPAS,MEXICO,La Pesca region,TAM,23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,NA,NUBLADO CON NEBLINA,TRAPLINE,0,1.86178,0,25.3339,0,0,0,0,72.8044,0,0,0,0,0,0,0,4.717380184,0
1119,,14,6,1988,LA PESCA / SLM,TAMAULIPAS,MEXICO,La Pesca region,TAM,23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,0+0 STINGS,"NUBLADO CON NEBLINA, HOT & BREEZY",TRAPLINE,0,0.488323,0,14.6411,0,0,0,0,42.395,0,42.4755,0,0,0,0,0,1.00E-07,0
1120,,14,6,1988,SOTO/ALDAMA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"RAUL, DEO, NOE, MARIO",NA,43+14 STINGS,NUBLADO CON NEBLINA,TRAPLINE,0,0.232183,0,27.621,0,0,0,0,36.5232,0,35.6237,0,0,0,0,0,1.00E-07,0
1121,,14,6,1988,SOTO/ALDAMA,TAMAULIPAS,MEXICO,Soto La Marina region,TAM,23.771584,-98.207932,"RAUL, DEO, NOE, MARIO",NA,4+4 STINGS,NUBLADO CON NEBLINA,TRAPLINE,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.00E-07,0
1122,,14,6,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"RAUL, DEO, NOE, MARIO",NA,"22+1 STINGS TRAMP SE ENCUENTRO A KM 101.3 APPROXIMADMENTE, SE QUITARON Y DE DEHARON E3,E4,C2,C3 IN POSICION",NUBLADO CON NEBLINA,TRAPLINE,0,0.996765,0,0,0,0,0,0,42.178,0,56.8252,0,0,0,0,0,1.00E-07,0
1123,,14,6,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"RAUL, DEO, NOE, MARIO",NA,NA,NUBLADO CON NEBLINA,TRAPLINE,98.5663,1.43372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-07,0
1124,,14,6,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"RAUL, DEO, NOE, MARIO",NA,6+2 STINGS,NUBLADO Y BRISA,TRAPLINE,0,0.407223,0,20.8138,0,0,0,0,15.029,0,63.7499,0,0,0,0,0,1.00E-07,0
