"ID","Drone","Day","Mo","Year","City_original","State","Country","Location.new","Geocluster","Latitude","Longitude","Collector","Varroa","Other_obs","Weather","Beekeeper","PRCP","TMAX","TMIN"
"2025","",23,3,1988,"SAN JOSE DE LAS RUSIA","TAMAULIPAS","MEXICO","Sierra de San Jose de Las Rusia","TAM",23.499912,-97.916637,"WLR, ISMAEL, DEO",NA,"COLMENA SILVESTRE SAN JOSE DE LAS RUSIAS EN BARRANCO DE ARROYO EN WERA DE ALGUN ARMIEL",NA,"GONZALO ACUNA MENDIOLA",0,79,63
"1035","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SEVERAL DIAGONAL COMBS- FRESH- MED. SIZE HONEY, CAPPED BROOD; EGGS, MUCH LARVAE ONLY QUEEN PRESERVED","OVERCAST BREEZY","TRAPLINE",0,89,66
"1036","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"7 MEDIUM COMBS. LONGITUDIUAL COMB DIRECTION WILD OLIVE, HUISACHE, OTROS ARBUSTOS EN FLOR, BASTANTE FLORACION","OVERCAST BREEZY","TRAPLINE",0,89,66
"1037","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EGGS PRESENT, NO LARVAE LARGEST SWARM YET 1.5 BAGS NEEDED","OVERCAST BREEZY","TRAPLINE",0,89,66
"1038","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SMALL SWARM QUEEN PRESEVED 4 DIAGONAL COMBS","OVERCAST BREEZY","TRAPLINE",0,89,66
"1040","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"PHEROMONE TUBE PROPELYZED 7 LARGE HANGING COMBS, LONGITUDIUAL 3 FALLEN COMBS, ALSO LARGE","OVERCAST BREEZY","TRAPLINE",0,89,66
"1041","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"NO QUEEN- NO COMB SOME BURR COMB (VERY LITTLE)","BREEZY HOT","TRAPLINE",0,89,66
"1042","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MUCH CAPPED DRONE BROOD 1 CYCLE OF WORKERS HAD EMERGED 8 GREAT BIG COMBS, DIAGONAL ATRAYENTE CAIDO?","BREEZY HOT","TRAPLINE",0,89,66
"1043","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MANY LARGE COMBS CAPPED HONEY CAPPED DRONES PRESENT","BREEZY HOT","TRAPLINE",0,89,66
"1044","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"VERY LITTLE COMB, SOME NECTAR NO BROOD OR EGGS","BREEZY SUNNY","TRAPLINE",0,89,66
"1045","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"3 SMALL COMBS. NECTAR NO BROOD OR EGGS, SOME NECTAR","BREEZY SUNNY","TRAPLINE",0,89,66
"1048","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EGGS, NO LAVAE 6+ PANALES MEDIANAS REINA CONGELADA","BREEZY SUNNY","TRAPLINE",0,89,66
"1049","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SOME CAPPED BROOD 8 PANALES MEDIANOS","BREEZY SUNNY","TRAPLINE",0,89,66
"1050","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SEALED BROOD SOME EMERGING BROODD 8 PANALES GRADES QUEEN","BREEZY SUNNY","TRAPLINE",0,89,66
"1051","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SEALED BROOD, EMERGIGN BROOD 6 PANALES QUEEN","BREEZY SUNNY","TRAPLINE",0,89,66
"1052","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"EMERGING BROOD; DRONE BROOD (CAPPED) 8 LARGE COMBS ATTACHED TO COVER, DIAGONAL","BREEZY SUNNY","TRAPLINE",0,89,66
"1054","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"SECOND CYCLE OF BROOD LONGITUDIUAL, CONNECTED TO COVER 7 LARGE COMBS","BREEZY SUNNY","TRAPLINE",0,89,66
"1056","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"NO BULK BEES DUE TO SMALL SIZE OF COLONY","BREEZY SUNNY","TRAPLINE",0,89,66
"1057","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"MUCH CAPPED BROOD IN CELLS MUCH POLLEN, HONEY (CAPPED, LIGHT) NO SE MEDIO 11 DIAGONAL COMBS, LARGE NO BULK SAMPLE WAS TAKEN TO CONSERVE TIME-LATE IN THE DAY","BREEZY SUNNY","TRAPLINE",0,89,66
"1058","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"CAPPED DRONE, WORKER BROOD DIAGONAL 8 LARGE COMBS","BREEZY SUNNY","TRAPLINE",0,89,66
"1059","",24,3,1988,"SOTO/VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,"5 COMBS, SMALL NO BROOD","BREEZY SUNNY","TRAPLINE",0,89,66
"3003","",6,4,1988,"EJIDO ""LA PIEDRA""","TAMAULIPAS","MEXICO","Ejido La Piedra","TAM",23.48345,-98.113485,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA",NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"FLAVIO CASTRO",1.98,74,69
"3005","",6,4,1988,"EJIDO ""LA PIEDRA""","TAMAULIPAS","MEXICO","Ejido La Piedra","TAM",23.48345,-98.113485,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA",NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"FLAVIO CASTRO",1.98,74,69
"3006","",6,4,1988,"EJIDO ""LA PIEDRA""","TAMAULIPAS","MEXICO","Ejido La Piedra","TAM",23.48345,-98.113485,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA",NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"FLAVIO CASTRO",1.98,74,69
"3001_A","",6,4,1988,"EJIDO ""LA PIEDRA""","TAMAULIPAS","MEXICO","Ejido La Piedra","TAM",23.48345,-98.113485,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA",NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"FLAVIO CASTRO",1.98,74,69
"2039_A","",7,4,1988,"KM 9, CAR. A PESCA","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA",NA,"KM 9 LAS TUNAS RUSTICAS",NA,"ALFONSO ARREGUIN",0.31,73,48
"1011","",18,4,1988,"SLM/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WTW,WLR,DLM,RR",NA,NA,"HAZEY COOL","TRAPLINE",0,91,68
"1063","",19,4,1988,"SLM/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,M,D",NA,NA,"SUNNY BREEZY","TRAPLINE",0,96,61
"1065","",19,4,1988,"SLM/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,M,D",NA,"NEW COMB","SUNNY BREEZY","TRAPLINE",0,96,61
"1066","",19,4,1988,"SLM/LA PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,M,D",NA,NA,"SUNNY BREEZY","TRAPLINE",0,96,61
"1072","",19,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,96,61
"1073","",19,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,96,61
"1074","",19,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,M",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,96,61
"1077","",19,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"RAUL,DEO",NA,"OUTSIDE TRAP 4 MEDIUM COMB WITH BROOD (ALL STAGES) PROPOLIZED ENTRANCE HOLE 40X35 OUTSIDE","BREEZY","TRAPLINE",0,96,61
"1079","",19,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"DALE ET AL",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,96,61
"1085","",20,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"D,R,B",NA,NA,"CLEAR, BREEZY, HOT","TRAPLINE",0,89,61
"1087","",20,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,B",NA,NA,"WINDY, CLEAR, HOT","TRAPLINE",0,89,61
"1089","",20,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,B",NA,"LOTS OF DRONES","SUNNY, BREEZY, HOT","TRAPLINE",0,89,61
"1095","",20,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,B",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,89,61
"1097","",20,4,1988,"SLM - CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"R,D,B",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,89,61
"1098","",21,4,1988,"SLM- CD. VICTORIA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"RAUL,NOE,DEO",NA,NA,"SUNNY, BREEZY, HOT","TRAPLINE",0,90,61
"1099","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, ET.AL",NA,NA,"HOT AND HUMID","TRAPLINE",0,93,70
"1100","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"NO BROOD ACTIVE RESPONSE TO AGGRESIVE BEHAVIOR TEST (RESULTS: 11&14 STINGS)","HOT AND HUMID","TRAPLINE",0,93,70
"1101","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTWL",NA,NA,"HOT AND HUMID","TRAPLINE",0,93,70
"1102","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"BEHAVIORAL TEST DONE FEWER BEES BUT SEVERAL STINGS 4+1","HOT AND HUMID","TRAPLINE",0,93,70
"1103","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"NOT MUCH COMB BUT MANY BEES NEW SWARM NO BROOD","HOT AND HUMID","TRAPLINE",0,93,70
"1104","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"BEHAVIOR TEST DONE. LARGE BEE POPULAT, BUT NO STINGS NO COMBS PRESENT A LARGE SWARM RECENTLY ARRIVED IN TRAP","HOT AND HUMID","TRAPLINE",0,93,70
"1105","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"71 STINGS IN BEHAVIOR TEST A LOT OF BEES 48+23 STINGS EGGS ONLY","HOT AND HUMID","TRAPLINE",0,93,70
"1106","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"A VERY SMALL POPULATION OF WORKERS 28+1 PIQUETES ONLY SMALL AMT. OF BROOD","HOT AND HUMID","TRAPLINE",0,93,70
"1107","",17,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WTW",NA,"FEW BEES FOR AMT. OF COMB 0 STINGS","HOT AND HUMID","TRAPLINE",0,93,70
"1108","",18,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, ET.AL",NA,"ALL COMB OUTSIDE TRAP","HAZY, WARM, CLEAR","TRAPLINE",0,90,71
"1109","",18,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, ET.AL",NA,NA,"HOT AND HUMID","TRAPLINE",0,90,71
"1110","",18,5,1988,"CD. VICTORIA/SOTO","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, ET.AL",NA,"V. SMALL SWARM","HOT AND HUMID","TRAPLINE",0,90,71
"1111","",18,5,1988,"SOTO LA MARINA/PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR, ET.AL",NA,"COMBS DIAGONAL INSIDE, TRAVESE ON TOP; DRONE CELLS PRESENT 2+0 STINGS","HOT AND HUMID","TRAPLINE",0,88,75
"1113","",18,5,1988,"SOTO LA MARINA/PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"BEHAVIOR TEST=17 STINGS 17+0 NOT MUCH HONEY POLLEN ABUNDANT","HOT AND HUMID","TRAPLINE",0,88,75
"1114","",18,5,1988,"SOTO LA MARINA/PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"LITTLE HONEY 0 STINGS","HOT AND HUMID","TRAPLINE",0,88,75
"1115","",18,5,1988,"SOTO LA MARINA/PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"LITTLE HONEY","HOT AND HUMID","TRAPLINE",0,88,75
"1112_A","",18,5,1988,"SOTO LA MARINA/PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR, ET.AL",NA,"17+1 STINGS","HOT AND HUMID","TRAPLINE",0,88,75
"1117","",14,6,1988,"LA PESCA / SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,NA,"NUBLADO CON NEBLINA","TRAPLINE",0.27,89,71
"1118","",14,6,1988,"LA PESCA / SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,NA,"NUBLADO CON NEBLINA","TRAPLINE",0.27,89,71
"1119","",14,6,1988,"LA PESCA / SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"RAUL, DEO, NOE, MARIO",NA,"0+0 STINGS","NUBLADO CON NEBLINA, HOT & BREEZY","TRAPLINE",0.27,89,71
"1120","",14,6,1988,"SOTO/ALDAMA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"RAUL, DEO, NOE, MARIO",NA,"43+14 STINGS","NUBLADO CON NEBLINA","TRAPLINE",2.95,91,72
"1121","",14,6,1988,"SOTO/ALDAMA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"RAUL, DEO, NOE, MARIO",NA,"4+4 STINGS","NUBLADO CON NEBLINA","TRAPLINE",2.95,91,72
