SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
5111,,16,5,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN,ROY",NA,"SITE-SANTA ANA NWR #3, BEES ON OUTSIDE OF TRAP;COMB DAMAGED TOT WT 20 WT MINUS JP JP",CLOUDY HOT AND HUMID,BORDER TRAPLINE
5114,,16,5,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EVAN,ROY",NA,SITE-SANTA ANA NWR #5,CLOUDY HOT AND HUMID,BORDER TRAPLINE
6074,,18,7,1989,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"RM, KRW",NA,"SITE-SANTA ANA NWR, 13.3 GROSS 8 TARE","MOSTLY SUNNY W/SLIGHT BREEZE, ~100F",BORDER TRAPLINE
6076_A,,20,3,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, WK",NA,"SITE-SANTA ANA NWR, EXPOSED FERAL COLONY OUTSIDE OF TRAP","70F, CLEAR, 5MPH",BORDER TRAPLINE
6076_B,,20,3,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, WK",NA,"SITE-SANTA ANA NWR, EXPOSED FERAL COLONY OUTSIDE OF TRAP","70F, CLEAR, 5MPH",BORDER TRAPLINE
6077,,20,3,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, WK",NA,"SITE-SANTA ANA NWR, 2 1/2 METERS 1 EGG FOUND DRONES PRESENT","70F, CLEAR, 5MPH",BORDER TRAPLINE
6078,,20,3,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, WK",NA,SITE-SANTA ANA NWR,"22C, CLEAR, 5MPH",BORDER TRAPLINE
6079,,20,3,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, WK",NA,"SITE-SANTA ANA NWR, DRONES PRESENT","CLEAR, 21C, 5MPH",BORDER TRAPLINE
6085_A,,16,4,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,JA",NA,"SITE-SANTA ANA NWR, DRONES PRESENT 11LB-8LB=3LB NOTE: FERAL COLONY ON THE OUTSIDE OF TRAP (NO BEHAVIOR TEST DONE)",NA,BORDER TRAPLINE
6089,,5,6,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,EAS,NA,"SITE SANTA ANA NWR, WT. 11-7=4",NA,BORDER TRAPLINE
6090,,5,6,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,EAS,NA,"SITE-SANTA ANA NWR, 21-7=14",NA,BORDER TRAPLINE
6091_A,,5,6,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,EAS,NA,"SITE-SANTA ANA NWR, RAN OUT OF CON. VIALS ALL FROZEN BEES IN A BAG WT. 9-7=2",NA,BORDER TRAPLINE
6091_B,,5,6,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,EAS,NA,"SITE-SANTA ANA NWR, RAN OUT OF CON. VIALS ALL FROZEN BEES IN A BAG WT. 9-7=2",NA,BORDER TRAPLINE
6093_A,,6,6,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART,ROBERT,RICHARD",NA,SITE-SANTA ANA NWR,98F HOT 5-10 WIND 20% CLOUDS,BORDER TRAPLINE
6098_A,,23,7,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART,ROBERT",NA,"SITE-SANTA ANA NWR, 9LB-8LB=1LB NO BROOD NO POLLEN",90% CLOUDS 120-15 MPH WINDS,BORDER TRAPLINE
6098_B,,23,7,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART,ROBERT",NA,"SITE-SANTA ANA NWR, 9LB-8LB=1LB NO BROOD NO POLLEN",90% CLOUDS 120-15 MPH WINDS,BORDER TRAPLINE
6099,,20,9,1990,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC, RM",NA,"SITE-SANTA ANA NWR, 0 SQ IN BROOD, 1 POLLEN, 4 HONEY, NO QUEEN FOUND, POLLEN SAMPLE TAKEN","95F, 09:24H",BORDER TRAPLINE
5237,,14,5,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS",NA,"SITE-ZANJA, P,H SAMPLES, 0.585KG, NO QUEEN FOUND","18C, 100% CLOUDS, 5MPH, WET,RAINY",BORDER TRAPLINE
5260,,11,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, FRED",NA,"SITE-ZANJA, 1205.56","90F, CLOUDY",BORDER TRAPLINE
5320,,18,10,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, J.CANTU",NA,"SITE-ZANJA, P,H SAMPLES",NA,BORDER TRAPLINE
6102,,18,4,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS,JB",NA,"SITE-SANTA ANA NWR #1, 0.963KG, P,H SAMPLES,UNABLE TO FIND QUEEN, DRONES PRESENT, EXPOSED COLONY","70F, 90% CLOUDS, 5MPH",BORDER TRAPLINE
6103,,18,4,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS,JB",NA,"SITE-STA ANA NWR #2, 0.394KG, P,B,H SAMPLES","70F, 90% CLOUDS, 5MPH",BORDER TRAPLINE
6104,,18,4,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS,JB",NA,"SITE-STA ANA NWR #10, 0.327KG, P,H,B SAMPLES","70F, 90% CLOUDS, 5MPH",BORDER TRAPLINE
6107,,18,4,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS,JB",NA,"SITE-STA ANA NWR #8, 0.842KG, P,H SAMPLES, DRONES PRESENT, ""SWARM JUST MOVING IN""(??), DRONE CELLS PRESENT","70F, 90% CLOUDS, 5MPH",BORDER TRAPLINE
6112,,17,5,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS",NA,"SANTA ANA NWR #5, ANITA'S #12, 1.298KG, P,H SAMPLES, NO QUEEN FOUND","29C, O%CLOUDS,5MPH,SUNNY",BORDER TRAPLINE
6113,,17,5,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS",NA,"SANTA ANA NWR #6, ANITA'S #13, 0.372KG, P,H SAMPLES","29C, O%CLOUDS,5MPH,SUNNY",BORDER TRAPLINE
6114,,17,5,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS",NA,"SANTA ANA NWR #7, ANITA'S #14, 0.173KG, P,H SAMPLES","29C, O%CLOUDS,5MPH,SUNNY",BORDER TRAPLINE
6115,,17,5,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RM,FS",NA,"SANTA ANA NWR #8, SUGDEN #30-0463, ANITA'S #10, 0.059KG, P,H SAMPLES","29C, O%CLOUDS,5MPH,SUNNY",BORDER TRAPLINE
6118,,14,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, KEN",NA,"SITE-SANTA ANA #1, 336.47GM",38C 20% CLOUD COVER,BORDER TRAPLINE
6119,,14,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, KEN",NA,"SITE-SANTA ANA #4, 718.16GM",38C 20% CLOUD COVER,BORDER TRAPLINE
6120,,14,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, KEN",NA,"SITE-SANTA ANA #5, 2111.67GM",39C 20% CLOUD COVER,BORDER TRAPLINE
6121_A,,14,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, KEN",NA,"SITE-SANTA ANA #8, 1084.98GM",39C 30% CLOUD COVER,BORDER TRAPLINE
6122,,14,6,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"ART, ROBERT, KEN",NA,"SITE-SANTA ANA #8, 562.95GM",39C 30% CLOUD COVER,BORDER TRAPLINE
6126,,18,7,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, R.MUMFORD",NA,SITE-SANTA ANA NWR #7,"34F, 0% CLOUDS, 3-5MPH WIND, HOT AND HUMID",BORDER TRAPLINE
6127_B,,18,7,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, R.MUMFORD",NA,SITE-SANTA ANA NWR #8,"34F, 0% CLOUDS, 3-5MPH WIND, HOT AND HUMID",BORDER TRAPLINE
6128,,18,7,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, R.MUMFORD",NA,SITE-SANTA ANA NWR #8,"34F, 0% CLOUDS, 3-5MPH WIND, HOT AND HUMID",BORDER TRAPLINE
6129,,14,8,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EAS, AC, RM",NA,"SITE-SANTA ANA NWR #2, P,H SAMPLES","30C, SUNNY, WARM, WIND 5 MPH",BORDER TRAPLINE
6130,,14,8,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EAS, AC, RM",NA,"SITE-SANTA ANA NWR #3, P,H SAMPLES, EGGS TO EDGE","30C, SUNNY, WARM, WIND 5 MPH",BORDER TRAPLINE
6133,,14,8,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EAS, AC, RM",NA,"SITE-SANTA ANA NWR #7, P,H SAMPLES","30C, SUNNY, WARM, WIND 5 MPH",BORDER TRAPLINE
6134,,14,8,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EAS, AC, RM",NA,"SITE-SANTA ANA NWR #8, P,H SAMPLES, MULTIPLE EGGS, QUEEN NOT IN GOOD SHAPE, ORIGINAL POSSIBLY DIED, EGGS TO EDGE, 2 Q CELLS","30C, SUNNY, WARM, WIND 5 MPH",BORDER TRAPLINE
6135,,14,8,1991,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"EAS, AC, RM",NA,"SITE-SANTA ANA NWR #110, P,H SAMPLES,POSSIBLY 3RD GENERATION LARVAE POSSIBLY 1 WEEK OLD, EGGS TO EDGE,","30C, SUNNY, WARM, WIND 5 MPH",BORDER TRAPLINE
6150_A,,18,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,D.GARCIA",NA,"SITE-STA ANA NWR #2, HIDALGO CO, NO QUEEN FOUND, P,H SAMPLES, 12 DRONES IN -80.","30C,50% CLOUDS,10MPH",BORDER TRAPLINE
6151,,18,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,D.GARCIA",NA,"SITE-STA ANA NWR #3, HIDALGO CO, NO QUEEN FOUND, P SAMPLE, 3 DRONES IN -80. CELL SIZES FROM SAME COMB, NO HONEY,NO BROOD","36C,30% CLOUDS,10MPH",BORDER TRAPLINE
6152,,18,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,D.GARCIA",NA,"SITE-STA ANA NWR #4, HIDALGO CO, P,H SAMPLES.","36C,0% CLOUDS,3-5MPH",BORDER TRAPLINE
6153_A,,18,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,D.GARCIA",NA,"SITE-STA ANA NWR #5, HIDALGO CO, 20 DRONES AT -80,P,H SAMPLES.","36C,0% CLOUDS,3-5MPH",BORDER TRAPLINE
6154,,19,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,N.GONZALES",NA,"SITE-STA ANA NWR #6, HIDALGO CO, P,H SAMPLES EXPOSED COLONY.","25C, 40% CLOUDS,3-5MPH WIND",BORDER TRAPLINE
6155,,19,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,N.GONZALES",NA,"SITE-STA ANA NWR #7, HIDALGO CO, P,H SAMPLES.","29C, 40% CLOUDS,3-5MPH WIND",BORDER TRAPLINE
6156,,19,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,N.GONZALES",NA,"SITE-STA ANA NWR #7, HIDALGO CO, P,H SAMPLES.","29C, 40% CLOUDS,3-5MPH WIND",BORDER TRAPLINE
6157_A,,19,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,N.GONZALES",NA,"SITE-STA ANA NWR #10, HIDALGO CO, P SAMPLE, NO HONEY.","32C, 40% CLOUDS,3-5MPH WIND",BORDER TRAPLINE
6157_B,,19,3,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS,A.BENSON,N.GONZALES",NA,"SITE-STA ANA NWR #10, HIDALGO CO, P SAMPLE, NO HONEY.","32C, 40% CLOUDS,3-5MPH WIND",BORDER TRAPLINE
6162,,15,4,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, D.GARCIA",YES,"SITE STA ANA NWR #2, P,H SAMPLES, varroa FOUND ON BAG","28C, 10% CLOUDS, 5MPH WIND",BORDER TRAPLINE
6168_A,,16,4,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"A.CAVASOS, D.GARCIA",NA,"SITE STA ANA NWR #10,20 DRONES AT -80C,P,H SAMPLES, 3RD GENERATION EGG STAGE, SMALL BEES","28C,80% CLOUDS, 5MPH WIND",BORDER TRAPLINE
6178,,19,5,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"E.A.SUGDEN, A.S.BENSON",NA,"SITE: SANTA ANA NWR #1, P,H SAMPLES","28C, 30% CLOUDS, 0MPH WIND",BORDER TRAPLINE
6179,,19,5,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"E.A.SUGDEN, A.S.BENSON",YES,"SITE: SANTA ANA NWR #2, 2 ETOH,P,H SAMPLES, varroa, 1 QUEEN CELL,EXTERIOR COLONY, ONE SMALL COMB INSIDE, ABOUT 1/2 OF BROOD COMB HAS 3RD GENERATION LARVAE/EGGS, PROLIFIC QUEEN","28C, 30% CLOUDS, 0MPH WIND",BORDER TRAPLINE
6180,,19,5,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"E.A.SUGDEN, A.S.BENSON",YES,"SITE: SANTA ANA NWR #3, 2 ETOH,P SAMPLES, varroa, VERY SMALL SWARM,NOT SURE IF -80C SAMPLES TAKEN","30C, 50% CLOUDS, 0MPH WIND",BORDER TRAPLINE
6182,,19,5,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"E.A.SUGDEN, A.S.BENSON",YES,"SITE: SANTA ANA NWR #4, P,H,2 ETOH SAMPLES, varroa","30C, 70% CLOUDS, 5MPH WIND",BORDER TRAPLINE
6193,,20,5,1992,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"E.A.SUGDEN, A.S.BENSON",NA,"SITE: SANTA ANA NWR #10, 2 ETOH SAMPLES, COMB SAMPLE NOT INDICATED, BUT MAY HAVE BEEN TAKEN","33C, 20% CLOUDS, 5MPH WIND",BORDER TRAPLINE
6245_A,,15,4,1993,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RG",NA,20 DRONES IN DRY ICE.,NA,TEXAS TRANSECT
6246_A,,15,4,1993,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RG",NA,12 DRONES IN DRY ICE.,NA,TEXAS TRANSECT
6248_B,,15,4,1993,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RG",NA,11 DRONES IN DRY ICE.,NA,TEXAS TRANSECT
6259,,18,5,1993,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,JB",NA,NA,NA,TEXAS TRANSECT
6264_A,,26,6,1993,ALAMO,TEXAS,USA,Alamo,BOR,26.183685,-98.123064,"AC,RG",NA,3RD GENERATION EGGS LARVAE.,"CLOUDY, HOT & HUMID.",TEXAS TRANSECT
6266,,16,7,1993,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NA,CHANGED NEW PHERMONES ON ALL OF THE TRAPS,NA,NA
6267,,10,7,1993,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NA,NA,NA,NA
6272,,11,8,1993,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa QUEEN GIVEN TO REY TAKEN TO LA BRISA,NA,NA
6277,,18,10,1993,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa,NA,NA
6268,,NA,7,1993,BENTSEN PK,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NA,NA,NA,NA
6275_A,,20,9,1993,BENTSEN PK,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NA,NA,NA,NA
6279,,31,3,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NA,.85KG,NA,NA
6283_A,,22,4,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,YES,varroa PRESENT .65KG,NA,NA
6286,,22,4,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa .40KG,NA,NA
6296,,14,6,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa .80KG,NA,NA
6300_A,,21,7,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa.30KG,NA,NA
6301,,21,7,1994,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,NA,NO,NO varroa 1.2KG,NA,NA
5741,,18,6,1996,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,"ART, STEVE, ERICA",NO,NO varroa IN FIELD CHECK. BURRITO-BAGGIE,NA,NA
5742,,18,6,1996,BENTSEN,TEXAS,USA,Bentsen-rio Grande Valley State Park,BOR,26.171791,-98.382926,"ART, STEVE, ERICA",NO,NO varroa IN FIELD CHECK. BURRITO-BAGGIE,NA,NA
1002,,21,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Aldama region,TAM,22.921855,-98.082063,"WTW,WLR,DLM,RR",NA,NO COMB. NEW SWARM,OVERCAST,TRAPLINE
1003,,21,3,1988,VICT-SLM,TAMAULIPAS,MEXICO,Aldama region,TAM,22.921855,-98.082063,WLR ET AL,NA,MUCH COMB AT ENTRANCE HOLE,"NUBLADO, BRISA DEL SUR",TRAPLINE
1159,,16,8,1988,CD VICTORIA / SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WLR,NA,LOT OF POLLEN & NECTAR SOME DRONES,CLOUDY AND RAINING,TRAPLINE
1161,,16,8,1988,CD VICTORIA / SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WLR,NA,RECENT SWARM ~ 5 DAYS NO NECTAR NO BROOD,CLOUDY AND DRIZZLE,TRAPLINE
1156,,21,7,1988,CD VICTORIA /JUAM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,A LITTLE CAPPED HONEY NECTAR MUCH POLLEN,HOT & OVERCAST,TRAPLINE
2045,,18,8,1988,CD. VICTORIA,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WLR,NA,COLMENAS RUSTICAS EJIDO LA LIBERTAD UNA COLMENA AL FONDO DEL JARDIN-LO TIENE 3 ANOS (1-HIELO SECO; 1 ALCOHOL),NA,JAVIER PEREZ TORRES
1207,,6,12,1988,CD. VICTORIA/SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WLR ET AL.,NA,MUY POCO POLLEN-ALGO DE PERERVA DE MIEL (~1KG) ENJAMBRE PEQUENO PRUEBA DEFENSIVA 0+0 PIQUETES,SOLEADO,TRAPLINE
1099,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,NA,HOT AND HUMID,TRAPLINE
1100,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,NO BROOD ACTIVE RESPONSE TO AGGRESIVE BEHAVIOR TEST (RESULTS: 11&14 STINGS),HOT AND HUMID,TRAPLINE
1101,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTWL,NA,NA,HOT AND HUMID,TRAPLINE
1102,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,BEHAVIORAL TEST DONE FEWER BEES BUT SEVERAL STINGS 4+1,HOT AND HUMID,TRAPLINE
1103,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,NOT MUCH COMB BUT MANY BEES NEW SWARM NO BROOD,HOT AND HUMID,TRAPLINE
1104,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,"BEHAVIOR TEST DONE. LARGE BEE POPULAT, BUT NO STINGS NO COMBS PRESENT A LARGE SWARM RECENTLY ARRIVED IN TRAP",HOT AND HUMID,TRAPLINE
1105,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,71 STINGS IN BEHAVIOR TEST A LOT OF BEES 48+23 STINGS EGGS ONLY,HOT AND HUMID,TRAPLINE
1106,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,A VERY SMALL POPULATION OF WORKERS 28+1 PIQUETES ONLY SMALL AMT. OF BROOD,HOT AND HUMID,TRAPLINE
1107,,17,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,WTW,NA,FEW BEES FOR AMT. OF COMB 0 STINGS,HOT AND HUMID,TRAPLINE
1108,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,ALL COMB OUTSIDE TRAP,"HAZY, WARM, CLEAR",TRAPLINE
1109,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,NA,HOT AND HUMID,TRAPLINE
1110,,18,5,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"WLR, ET.AL",NA,V. SMALL SWARM,HOT AND HUMID,TRAPLINE
1122,,14,6,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"RAUL, DEO, NOE, MARIO",NA,"22+1 STINGS TRAMP SE ENCUENTRO A KM 101.3 APPROXIMADMENTE, SE QUITARON Y DE DEHARON E3,E4,C2,C3 IN POSICION",NUBLADO CON NEBLINA,TRAPLINE
1123,,14,6,1988,CD. VICTORIA/SOTO,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"RAUL, DEO, NOE, MARIO",NA,NA,NUBLADO CON NEBLINA,TRAPLINE
